transaction_amount,transaction_hour,account_age_days,num_transactions_last_24h,distance_from_home_km,is_fraud
69.45,1,613,1,8.96,0
149.07,23,666,3,9.77,0
95.47,9,198,3,37.73,0
36.96,12,735,3,21.71,0
6.7,14,15,3,10.6,0
14.42,12,369,2,17.87,0
43.29,8,128,2,3.42,0
85.54,8,424,1,1.52,0
237.36,4,451,1,9.15,0
106.95,0,337,1,15.53,0
75.3,16,77,1,41.87,0
107.87,21,243,5,1.76,0
86.76,23,679,6,16.31,0
141.9,8,23,1,3.46,0
34.85,0,71,1,7.54,0
20.56,2,531,1,10.78,0
212.92,12,1164,4,11.64,0
43.97,2,4,6,71.06,1
42.74,2,483,1,2.8,0
105.4,9,205,1,6.38,0
140.46,23,398,1,23.77,0
201.19,5,102,2,14.03,0
8.48,14,980,1,20.94,0
97.93,11,215,2,0.46,0
83.8,5,664,3,3.24,0
266.53,14,36,10,98.52,1
81.78,14,658,2,10.67,0
186.35,14,36,2,2.44,0
209.0,21,1259,0,39.87,0
74.79,21,332,3,5.4,0
77.15,20,214,2,57.13,0
16.89,9,119,2,19.34,0
178.85,19,994,4,7.26,0
134.49,11,908,1,9.3,0
29.48,5,858,5,2.18,0
91.65,10,148,3,1.99,0
109.59,19,227,2,30.22,0
54.82,3,69,1,0.3,0
68.88,13,6,4,5.98,0
174.77,3,337,0,6.45,0
125.37,15,919,3,22.07,0
264.67,20,654,1,38.35,0
52.15,21,12,1,18.08,0
53.64,16,1,2,9.2,0
74.1,17,1583,3,5.15,0
68.42,5,407,4,11.69,0
173.55,19,97,1,11.13,0
24.63,22,134,2,35.0,0
48.33,1,13,4,15.85,0
36.79,22,30,3,39.17,0
50.76,20,27,0,7.4,0
95.83,20,547,2,23.13,0
333.47,7,831,2,15.22,0
82.92,22,261,1,17.09,0
171.04,9,923,1,10.11,0
157.73,23,54,10,10.26,1
86.21,6,476,0,3.93,0
59.14,14,574,1,22.72,0
14.97,0,590,1,8.43,0
103.39,20,1747,2,7.89,0
207.74,2,1133,1,30.53,0
55.62,20,263,1,18.98,0
161.24,5,620,2,1.64,0
236.46,15,1223,2,6.8,0
111.1,22,375,0,16.14,0
6.5,3,97,3,2.8,0
81.4,5,945,0,3.14,0
227.36,19,523,3,18.7,0
88.96,21,629,2,21.07,0
113.04,19,544,2,26.32,0
69.75,19,176,2,8.07,0
212.0,22,1100,1,82.01,0
41.0,0,189,2,5.86,0
234.98,1,329,3,7.79,0
226.55,7,563,2,4.37,0
171.78,13,720,1,1.84,0
126.28,5,428,4,17.97,0
67.44,22,719,4,12.72,0
175.46,12,1113,1,3.69,0
85.05,13,44,2,5.59,0
93.79,1,182,1,1.78,0
92.95,6,883,2,20.16,0
128.54,19,523,3,9.17,0
95.27,23,23,6,25.55,0
115.12,9,923,1,1.71,0
101.94,16,1050,1,20.28,0
86.45,4,187,3,49.1,0
141.39,1,45,0,20.56,0
68.48,9,304,2,50.43,0
134.72,0,335,2,5.12,0
65.07,11,456,3,2.25,0
34.24,8,70,4,1.99,0
165.48,20,558,2,24.54,0
282.58,17,141,5,14.55,0
56.35,9,323,3,16.5,0
118.82,5,3234,2,25.1,0
50.48,2,41,4,13.07,0
85.4,15,140,0,20.52,0
80.78,20,214,0,12.2,0
168.98,15,811,1,28.15,0
72.36,19,110,1,4.8,0
81.11,14,32,1,40.82,0
19.4,18,1572,2,13.86,0
152.05,0,1338,2,29.48,0
238.93,5,213,1,22.24,0
166.24,3,74,1,22.05,0
145.79,5,631,5,33.96,0
74.11,21,423,3,8.37,0
305.58,5,1002,1,7.73,0
222.41,3,241,1,4.57,0
222.26,13,370,3,9.04,0
141.38,13,254,2,2.47,0
57.52,22,363,1,6.33,0
45.82,2,568,2,5.19,0
56.53,1,186,2,23.8,0
314.56,19,230,0,49.84,0
74.55,5,629,0,32.14,0
200.36,19,696,0,29.52,0
123.57,5,268,4,7.08,0
14.98,6,159,3,11.61,0
45.14,8,68,1,10.98,0
123.11,2,22,4,21.75,0
129.54,21,2120,0,3.17,0
106.71,0,230,3,14.35,0
106.97,0,676,4,1.49,0
85.12,18,132,0,2.25,0
119.04,19,870,1,5.76,0
95.85,1,1062,1,10.58,0
89.86,0,327,2,15.18,0
36.92,21,251,2,8.58,0
27.56,23,668,1,3.85,0
56.06,12,140,2,11.14,0
101.6,4,174,4,11.8,0
56.23,0,220,1,4.93,0
118.47,16,690,2,2.34,0
51.02,19,311,3,11.39,0
75.42,0,81,0,14.71,0
6.44,14,9,4,24.75,0
147.39,16,186,1,10.34,0
242.09,0,49,1,8.72,0
26.87,11,438,5,55.43,0
8.44,5,128,2,5.98,0
173.1,18,1516,0,16.28,0
21.79,19,116,4,27.7,0
156.78,23,122,7,16.75,0
62.43,16,1648,1,1.21,0
117.63,21,769,2,18.2,0
78.4,18,78,1,21.1,0
376.01,8,1159,1,0.82,0
51.47,7,690,0,0.99,0
47.07,21,157,4,34.09,0
37.03,12,43,6,17.16,0
27.53,12,148,1,15.65,0
34.05,5,1173,2,13.8,0
18.27,16,109,2,0.29,0
155.66,6,219,1,9.24,0
79.88,18,153,4,13.14,0
127.22,21,814,4,19.15,0
37.87,9,239,1,4.95,0
275.66,3,207,2,3.42,0
83.22,16,21,2,30.58,0
246.38,12,440,0,6.44,0
188.31,14,292,3,12.94,0
264.64,6,1379,3,18.77,0
108.17,19,56,1,3.11,0
60.4,7,842,3,5.99,0
23.87,11,235,1,13.54,0
83.2,19,846,0,15.14,0
41.12,6,805,1,40.09,0
69.43,13,1252,2,7.82,0
46.85,0,39,1,4.12,0
87.04,20,79,5,14.78,0
120.49,3,1411,0,20.83,0
31.67,5,56,3,15.27,0
29.67,11,967,2,28.63,0
178.43,0,208,1,9.56,0
63.72,9,1136,1,11.68,0
74.42,22,301,1,6.17,0
137.7,1,118,1,2.79,0
125.64,18,210,2,15.96,0
68.34,16,1198,2,23.52,0
90.55,6,373,3,13.33,0
306.25,2,314,2,3.41,0
26.03,10,638,3,1.63,0
63.58,11,1282,4,26.87,0
55.59,11,61,2,4.83,0
86.19,2,495,0,27.53,0
34.57,5,764,3,5.78,0
147.78,2,500,0,11.13,0
99.69,22,1966,3,30.49,0
96.06,22,920,1,39.67,0
87.84,23,495,5,2.07,0
37.68,1,58,1,23.05,0
104.65,18,252,3,8.54,0
189.76,18,814,3,5.51,0
259.77,6,10,1,19.99,0
64.01,4,326,2,31.11,0
247.26,17,72,2,66.01,0
104.89,11,80,1,12.09,0
35.53,3,227,4,4.77,0
30.67,8,121,6,15.73,0
108.1,17,1504,1,38.29,0
154.62,7,25,0,2.92,0
130.16,13,550,2,2.32,0
86.24,2,591,5,3.83,0
46.74,18,879,2,50.09,0
112.13,9,362,3,3.68,0
180.68,11,1320,0,6.42,0
180.71,12,1888,2,48.3,0
136.52,4,1326,0,1.47,0
65.47,16,104,0,10.88,0
87.28,9,423,2,21.19,0
110.07,16,89,3,7.06,0
69.94,12,1187,2,17.26,0
50.64,6,220,3,31.0,0
107.19,19,21,4,3.05,0
154.41,18,219,3,44.0,0
79.68,7,166,4,10.58,0
172.0,19,1175,1,21.12,0
108.06,19,233,5,11.08,0
74.3,4,38,4,20.47,0
32.87,12,1556,3,6.6,0
16.05,13,30,1,19.0,0
68.33,10,2045,3,7.81,0
13.13,3,929,4,9.91,0
19.65,18,2374,0,5.97,0
185.0,14,658,2,34.29,0
53.31,21,846,1,20.85,0
205.11,7,611,2,27.46,0
135.2,2,63,0,24.72,0
59.23,20,102,0,28.4,0
144.05,6,1531,4,35.12,0
62.29,2,499,0,8.07,0
73.64,12,1201,0,10.94,0
200.58,3,293,2,0.18,0
68.77,12,73,10,6.81,1
157.57,20,446,1,4.12,0
24.82,8,1015,2,4.65,0
64.92,6,1268,2,4.7,0
106.89,19,483,1,13.31,0
15.13,11,32,1,33.82,0
4.19,5,1259,1,2.31,0
59.02,2,434,1,22.15,0
8.78,6,50,5,4.87,0
187.92,23,452,4,44.37,0
77.92,18,41,2,3.06,0
53.94,4,437,4,11.49,0
149.15,21,242,4,33.4,0
134.02,9,22,3,20.03,0
12.28,1,237,2,3.72,0
87.92,0,1079,1,2.2,0
163.73,9,1140,1,0.5,0
25.24,11,1528,2,38.31,0
46.39,14,824,3,21.14,0
184.39,6,764,1,19.09,0
29.43,8,325,4,2.35,0
43.83,3,503,2,17.3,0
78.06,16,198,2,7.02,0
44.95,3,62,0,1.21,0
35.75,13,407,1,29.52,0
129.75,10,1456,3,24.83,0
49.68,9,89,1,6.69,0
67.52,17,2626,3,48.75,0
17.84,20,149,3,10.99,0
257.5,14,2005,2,19.28,0
180.93,11,165,3,0.72,0
93.55,7,17,9,30.76,1
9.87,15,63,1,35.63,0
44.35,3,451,0,4.61,0
84.42,12,97,1,19.62,0
128.12,22,719,3,26.45,0
33.49,0,20,0,6.6,0
132.25,22,2560,5,22.53,0
148.46,10,371,3,7.32,0
52.31,10,366,4,3.04,0
62.05,15,322,1,23.87,0
55.46,23,11,3,3.51,0
202.13,18,412,4,33.37,0
54.89,21,763,1,1.64,0
83.56,13,806,2,4.06,0
111.85,21,221,0,5.72,0
242.25,15,635,1,5.15,0
27.73,7,371,5,15.89,0
58.16,1,865,0,26.49,0
397.74,23,437,3,42.97,0
139.03,18,174,2,1.73,0
119.41,20,823,0,20.77,0
76.16,13,397,6,6.46,0
117.14,18,269,1,10.73,0
114.83,19,9,1,2.88,0
39.29,16,3,4,17.6,0
90.16,15,62,2,17.01,0
40.48,9,625,3,9.32,0
62.19,1,1021,1,8.63,0
101.66,13,359,3,6.68,0
131.73,0,133,4,3.16,0
22.17,3,861,1,2.97,0
77.86,11,473,2,8.12,0
83.54,20,13,1,1.54,0
24.3,22,454,2,2.66,0
95.84,15,769,3,4.9,0
185.17,18,56,3,2.24,0
264.24,23,325,2,20.12,0
26.51,4,642,1,16.36,0
78.45,21,38,1,15.01,0
149.89,21,380,2,2.78,0
89.51,7,18,1,6.41,0
130.34,12,179,3,9.33,0
57.45,0,24,1,2.86,0
12.64,21,835,3,16.14,0
51.93,20,627,2,27.58,0
107.84,16,283,2,5.39,0
150.97,17,654,3,5.35,0
98.65,4,944,3,46.96,0
110.95,20,52,3,15.69,0
97.31,16,189,1,12.16,0
52.21,7,1030,5,0.63,0
85.78,7,703,3,21.01,0
303.9,12,493,1,5.89,0
52.13,15,321,3,5.91,0
92.72,19,127,1,15.87,0
70.95,8,341,1,0.43,0
66.63,6,397,3,5.79,0
55.42,4,806,3,9.76,0
119.97,7,725,3,14.1,0
92.37,23,972,4,22.33,0
102.55,18,732,1,12.83,0
25.61,17,305,1,13.44,0
17.07,17,426,1,12.61,0
35.46,5,581,2,9.25,0
64.04,1,375,3,4.89,0
80.08,8,779,3,3.98,0
71.52,16,1610,4,19.19,0
215.59,5,180,3,5.36,0
41.19,16,292,2,46.82,0
85.38,8,455,0,3.01,0
326.31,11,906,2,9.15,0
136.13,5,527,2,20.53,0
220.58,3,1454,1,14.99,0
29.44,15,95,1,6.7,0
24.72,19,148,1,11.6,0
60.81,21,495,3,10.73,0
47.73,15,87,2,62.65,0
41.33,20,323,0,11.32,0
221.59,2,1106,1,29.0,0
12.76,9,960,0,13.1,0
112.93,21,280,4,14.15,0
32.7,16,731,5,4.27,0
95.71,5,1100,0,27.72,0
115.59,14,25,7,3.99,1
100.25,10,166,3,1.87,0
58.99,0,646,2,5.58,0
32.62,16,102,4,23.65,0
75.73,11,286,1,4.72,0
86.08,10,791,2,18.08,0
103.01,3,443,1,39.67,0
50.86,20,194,2,10.73,0
69.31,13,19,0,66.37,0
81.97,9,303,1,6.72,0
197.73,23,143,2,20.86,0
115.47,23,228,1,58.38,0
75.03,8,37,2,2.13,0
82.56,21,690,1,0.13,0
194.62,14,275,3,23.78,0
139.06,18,85,1,8.89,0
178.2,20,531,2,22.21,0
122.53,23,83,2,25.54,0
91.48,10,50,0,11.43,0
74.04,19,892,1,31.8,0
430.91,14,487,0,13.48,0
50.43,3,2360,4,9.17,0
313.91,20,7,3,11.19,0
120.02,23,109,4,34.31,0
114.74,11,336,5,32.07,0
209.19,22,520,1,3.85,0
159.68,14,329,0,13.43,0
80.7,5,372,1,39.8,0
155.25,4,297,2,58.45,0
168.98,9,454,2,3.41,0
138.28,1,262,1,10.83,0
119.7,7,1550,4,7.38,0
198.69,17,223,0,12.52,0
87.58,23,240,4,2.71,0
65.49,11,264,2,40.9,0
92.7,11,480,0,27.44,0
134.54,23,664,1,2.02,0
22.22,15,393,2,74.65,0
72.01,2,3047,5,18.32,0
31.64,23,1631,0,0.75,0
88.91,13,48,3,22.36,0
101.18,6,209,0,20.59,0
22.58,10,429,2,7.44,0
10.69,15,277,1,2.0,0
234.45,19,43,2,28.2,0
124.76,4,741,1,27.61,0
4.85,12,17,2,7.03,0
136.5,3,1093,0,12.38,0
73.09,13,112,3,2.11,0
119.88,16,160,4,10.82,0
39.38,16,685,3,9.78,0
22.21,6,279,4,2.64,0
30.71,1,760,6,24.89,0
8.86,14,906,1,16.56,0
147.32,6,417,2,0.29,0
229.13,2,38,1,1.53,0
105.81,7,925,6,27.93,0
75.7,20,176,0,0.66,0
76.9,13,1043,2,24.91,0
93.66,23,826,2,42.07,0
121.03,4,335,2,22.99,0
44.83,12,350,3,3.17,0
78.04,2,429,1,25.51,0
210.5,14,382,1,7.36,0
42.52,22,249,2,15.28,0
132.34,15,52,1,2.05,0
120.16,13,854,1,31.57,0
23.4,0,876,2,9.54,0
64.15,6,456,2,0.35,0
25.99,3,1099,4,1.21,0
41.38,11,800,2,4.83,0
82.43,23,340,0,4.89,0
47.66,4,750,1,50.33,0
132.77,7,764,1,24.53,0
167.62,11,369,2,1.64,0
42.29,14,116,3,63.2,0
23.89,22,127,2,15.39,0
82.99,13,248,1,6.67,0
48.85,12,675,2,9.97,0
45.73,5,522,1,16.14,0
61.32,11,108,4,25.18,0
154.41,18,262,1,3.06,0
75.95,17,825,2,8.63,0
126.15,12,1188,1,1.13,0
107.8,18,1175,0,9.39,0
51.05,0,884,1,5.74,0
85.63,6,343,1,13.84,0
31.3,12,45,4,10.15,0
37.82,17,396,2,17.33,0
49.68,14,934,2,3.23,0
29.65,13,1061,1,7.82,0
152.35,19,263,1,29.02,0
73.34,23,217,3,10.09,0
84.0,18,500,0,10.98,0
73.99,12,93,1,6.78,0
38.1,18,242,3,14.3,0
95.97,11,241,2,13.8,0
120.51,17,98,3,4.65,0
308.91,17,102,3,28.5,0
59.91,13,384,2,11.37,0
162.11,8,691,3,50.39,0
101.32,20,160,1,6.74,0
91.46,20,24,2,41.04,0
94.62,17,646,0,6.77,0
131.72,9,114,0,21.94,0
147.71,6,467,2,2.12,0
110.68,12,41,3,6.08,0
132.99,13,438,1,35.37,0
178.56,10,40,3,18.5,0
25.85,8,151,3,36.18,0
29.57,20,726,1,8.04,0
87.73,17,267,0,12.63,0
84.31,17,1237,4,2.47,0
43.09,15,100,1,17.8,0
37.94,11,51,5,20.38,0
68.68,16,1924,5,0.0,0
26.5,5,19,3,62.91,0
60.76,19,2052,1,24.03,0
16.28,1,873,3,8.33,0
39.18,18,245,1,6.8,0
133.44,17,409,2,11.16,0
6.95,4,153,3,7.82,0
89.81,7,77,2,2.93,0
47.56,13,54,2,3.02,0
81.11,3,103,1,16.93,0
103.77,12,48,2,33.1,0
64.04,13,55,1,23.11,0
237.24,21,854,4,4.42,0
77.2,0,519,3,41.57,0
133.63,2,108,4,8.7,0
82.75,8,499,4,24.79,0
19.69,9,825,2,1.87,0
62.38,8,1,1,18.72,0
107.49,17,348,4,15.65,0
32.63,22,3,5,6.4,0
53.47,13,550,2,6.4,0
130.59,13,322,2,2.45,0
151.35,7,529,3,13.65,0
283.66,22,424,2,0.45,0
111.59,2,20,1,9.49,0
110.8,5,1070,3,1.61,0
107.63,9,238,1,22.95,0
176.83,18,120,4,2.87,0
83.38,5,273,1,15.9,0
8.89,5,177,2,6.32,0
49.42,18,509,2,13.65,0
358.52,23,422,0,40.96,0
77.33,19,125,3,2.67,0
61.16,3,813,2,12.52,0
226.05,11,550,1,42.22,0
92.26,1,328,1,37.22,0
158.25,12,451,1,29.11,0
128.96,2,34,1,27.58,0
100.55,12,825,5,18.75,0
364.9,7,31,1,1.05,0
169.84,19,330,0,12.59,0
76.14,23,521,2,20.16,0
14.25,15,725,2,81.09,0
69.32,2,727,2,5.12,0
146.55,5,540,1,7.66,0
128.05,7,234,4,8.42,0
301.71,10,723,0,22.75,0
62.52,5,677,2,3.67,0
119.53,18,595,2,16.96,0
87.32,5,707,3,36.17,0
22.99,21,270,2,3.68,0
80.91,10,517,5,11.14,0
65.78,13,327,2,53.79,0
98.12,15,564,1,3.17,0
111.26,22,308,1,6.12,0
127.29,17,336,3,15.72,0
198.86,7,33,0,33.75,0
111.84,6,257,6,4.76,0
85.92,21,640,2,7.05,0
170.98,23,208,2,16.63,0
99.92,16,564,0,19.69,0
111.32,4,1098,1,6.98,0
43.66,3,227,1,20.15,0
6.82,19,0,1,50.63,0
99.38,8,58,2,19.69,0
80.23,2,1076,0,33.48,0
10.26,2,392,1,10.94,0
81.78,22,687,0,15.6,0
225.4,11,235,2,14.84,0
32.0,12,748,1,6.07,0
93.3,17,204,3,8.94,0
64.96,14,526,2,12.79,0
133.93,4,36,1,27.39,0
126.42,20,609,1,71.82,0
87.14,20,2131,1,8.82,0
169.37,9,153,3,6.52,0
93.66,15,1445,3,4.07,0
171.26,15,274,1,23.0,0
194.15,0,4,12,46.49,1
94.67,13,565,2,10.33,0
54.2,10,304,2,2.37,0
68.7,19,158,2,5.01,0
26.45,3,232,2,32.58,0
93.32,21,320,1,11.8,0
84.74,19,1994,1,3.17,0
53.86,17,835,1,19.27,0
77.13,16,315,0,5.48,0
39.89,21,256,1,37.58,0
39.38,23,888,3,2.54,0
92.94,12,21,1,13.22,0
65.88,22,603,2,15.07,0
88.6,14,147,1,10.51,0
93.0,3,323,1,2.61,0
22.44,3,74,2,11.32,0
89.45,15,224,2,47.69,0
35.19,14,93,1,61.7,0
40.97,16,878,0,4.78,0
185.84,11,4,0,11.91,0
156.2,6,419,0,19.05,0
39.25,20,23,2,12.87,0
145.27,18,164,0,19.15,0
225.47,3,103,9,2.24,1
121.29,12,546,0,23.74,0
54.31,15,22,3,37.4,0
82.84,18,516,3,6.23,0
271.84,21,115,1,8.35,0
82.6,20,1150,1,0.74,0
105.02,22,759,4,0.98,0
122.91,4,150,2,9.71,0
25.06,3,21,1,27.49,0
122.75,6,428,3,46.07,0
47.94,22,975,2,2.66,0
64.2,7,2,3,1.48,0
3.81,5,82,4,20.49,0
18.29,9,292,1,0.56,0
32.62,4,161,0,1.97,0
137.49,22,299,4,23.4,0
101.23,7,690,1,47.8,0
269.65,21,252,5,18.69,0
79.5,3,1005,1,2.94,0
67.06,10,206,2,23.78,0
88.68,4,307,0,28.94,0
69.53,5,110,1,6.04,0
202.05,22,557,7,6.27,0
36.76,0,790,3,30.59,0
53.69,12,389,3,20.71,0
37.26,14,144,3,9.51,0
74.19,2,54,0,9.13,0
51.93,7,548,1,29.64,0
116.78,1,100,5,4.07,0
63.87,7,695,5,29.15,0
17.78,19,55,1,10.38,0
92.84,5,498,2,7.75,0
63.08,14,71,5,3.58,0
243.68,18,811,2,0.98,0
19.67,17,130,3,4.71,0
61.03,3,102,2,9.22,0
26.82,16,49,1,62.94,0
319.02,12,106,2,0.27,0
92.48,3,601,3,5.81,0
166.21,19,171,1,5.86,0
47.34,8,257,0,3.19,0
13.8,12,522,2,1.03,0
163.53,4,111,0,3.61,0
237.22,21,440,0,3.18,0
17.9,8,514,3,1.19,0
93.49,14,456,2,6.16,0
62.8,21,54,1,11.39,0
19.57,10,151,2,2.39,0
24.52,8,329,0,23.15,0
135.4,12,1078,3,13.29,0
53.35,9,76,0,10.7,0
223.28,4,73,9,25.07,1
30.35,18,345,4,46.79,0
44.4,9,168,1,5.06,0
185.74,22,305,2,4.19,0
111.63,5,218,4,14.18,0
1.15,4,232,3,4.37,0
53.52,4,624,3,6.5,0
108.95,8,2907,0,31.82,0
87.15,7,425,1,4.8,0
91.14,8,1,3,9.95,0
34.95,11,197,2,35.61,0
100.51,11,249,4,12.89,0
34.2,2,192,3,5.2,0
18.1,5,122,3,14.01,0
37.82,3,150,1,24.48,0
187.7,9,513,2,14.16,0
130.9,15,388,1,0.33,0
29.58,22,244,1,2.89,0
20.22,9,513,0,5.38,0
12.31,13,741,0,8.38,0
102.45,16,911,1,5.1,0
41.45,16,355,0,13.91,0
64.58,17,192,2,7.0,0
29.6,20,301,0,30.54,0
185.53,20,126,1,7.35,0
152.52,21,874,1,27.56,0
71.72,0,588,1,24.45,0
182.74,21,220,2,1.35,0
42.75,19,460,4,130.31,0
65.38,20,288,2,9.4,0
77.55,12,7,2,11.24,0
40.08,23,888,3,18.42,0
136.36,12,1516,0,6.85,0
44.79,2,174,0,25.56,0
35.88,19,195,3,2.65,0
26.89,17,463,4,15.18,0
87.48,1,296,2,8.83,0
84.03,19,455,2,8.6,0
420.83,10,14,8,149.3,1
9.88,20,1535,3,25.32,0
57.67,4,764,2,54.83,0
179.5,4,118,2,43.86,0
92.69,5,41,0,0.28,0
162.87,9,889,3,14.66,0
74.02,22,76,0,0.59,0
24.58,6,2225,1,10.71,0
182.53,5,62,4,18.06,0
76.83,11,538,3,10.01,0
57.72,5,46,4,4.61,0
138.03,4,213,0,25.81,0
216.65,15,214,0,17.67,0
98.4,5,145,4,0.06,0
102.47,7,656,1,2.42,0
45.07,3,177,2,26.92,0
55.76,13,970,2,21.09,0
124.61,11,172,1,7.88,0
149.13,19,95,0,12.39,0
126.2,5,615,2,30.64,0
31.56,16,282,3,5.1,0
7.72,20,718,0,6.36,0
89.52,3,625,4,122.22,0
51.37,14,947,1,11.34,0
81.28,6,60,0,11.48,0
72.15,11,217,4,10.17,0
175.86,8,258,3,6.89,0
169.34,16,383,2,34.94,0
51.13,6,1085,3,19.23,0
43.02,17,599,3,4.02,0
287.85,19,433,0,34.14,0
35.78,10,169,3,2.17,0
208.09,13,254,6,12.99,0
83.75,5,498,2,11.92,0
274.66,6,433,3,11.94,0
59.77,4,132,0,33.04,0
186.06,17,124,0,20.43,0
43.41,10,1663,3,51.03,0
75.07,1,25,3,14.32,0
21.43,16,70,4,10.81,0
116.07,7,74,1,10.88,0
34.12,14,379,3,0.85,0
162.47,7,3355,4,0.22,0
92.13,14,353,0,4.25,0
75.66,18,290,2,17.26,0
27.32,11,592,0,2.64,0
59.01,7,515,1,26.26,0
37.41,18,560,1,35.39,0
38.12,2,743,3,2.5,0
43.41,6,451,3,10.35,0
35.99,5,113,2,7.35,0
185.2,7,510,2,8.13,0
120.11,15,570,1,30.3,0
215.48,10,17,8,101.32,1
125.29,23,121,2,16.29,0
42.82,0,195,1,4.92,0
42.69,11,651,1,6.68,0
109.9,23,935,2,9.09,0
239.49,18,256,2,24.62,0
114.76,7,1354,2,3.48,0
40.46,13,80,0,5.87,0
12.66,8,198,2,17.36,0
138.12,1,62,6,56.63,1
121.67,16,567,4,0.35,0
95.83,0,202,0,13.5,0
156.24,4,673,3,2.21,0
28.15,0,37,3,3.29,0
55.67,1,24,9,26.01,1
66.27,4,573,3,3.42,0
93.15,15,1402,1,19.93,0
92.93,9,1179,3,14.99,0
150.09,10,1735,3,0.19,0
104.01,13,401,3,6.03,0
253.53,2,237,1,0.11,0
130.56,16,250,2,10.5,0
66.09,22,767,1,8.69,0
84.36,19,60,2,15.02,0
86.71,7,402,0,4.9,0
293.94,10,175,2,6.01,0
110.13,7,139,3,32.24,0
100.81,22,420,1,19.32,0
44.01,8,879,3,10.3,0
44.03,17,114,5,10.64,0
80.7,12,1117,0,25.81,0
333.21,7,53,1,37.57,0
79.32,21,1220,2,0.98,0
209.52,10,1106,0,13.77,0
135.12,20,556,5,1.42,0
151.94,10,425,0,15.64,0
57.96,3,77,1,24.16,0
125.24,20,29,4,9.47,0
76.22,4,893,2,22.06,0
64.19,16,300,3,0.24,0
96.45,21,355,2,3.79,0
70.97,9,406,3,6.76,0
64.77,10,268,4,31.22,0
99.85,5,180,2,13.42,0
76.51,7,1781,2,17.83,0
58.38,22,497,0,21.67,0
103.18,3,655,0,52.18,0
106.05,4,602,2,54.33,0
49.09,15,127,2,6.95,0
41.23,21,493,2,17.66,0
49.75,16,224,5,3.81,0
309.09,4,731,0,16.38,0
58.42,17,741,1,0.86,0
74.2,13,47,1,1.01,0
44.41,15,1040,5,7.24,0
86.78,18,109,0,0.85,0
77.1,11,1214,2,10.46,0
162.32,20,140,2,8.07,0
26.25,21,575,7,42.27,0
139.34,18,324,0,14.68,0
155.56,21,598,2,41.18,0
57.72,2,361,2,19.83,0
312.28,9,1144,0,2.45,0
247.96,13,748,1,3.62,0
103.56,18,1026,0,9.14,0
55.92,8,229,0,10.61,0
250.31,10,904,2,0.62,0
18.13,20,1281,1,4.36,0
106.68,10,310,1,44.44,0
88.21,21,539,2,28.22,0
211.49,4,431,3,8.91,0
27.11,19,985,1,41.07,0
11.18,10,178,1,39.75,0
42.18,6,7,1,5.98,0
19.83,1,1714,4,11.94,0
106.59,3,7,1,8.18,0
225.57,4,62,2,10.33,0
57.6,17,76,5,19.91,0
49.96,5,2065,0,1.3,0
49.76,9,69,2,13.62,0
126.89,4,263,2,12.03,0
49.67,2,373,3,14.47,0
34.11,23,368,2,24.57,0
121.41,4,365,1,37.45,0
144.84,16,842,0,16.02,0
162.27,8,820,3,17.23,0
65.84,8,403,1,29.75,0
104.72,6,848,1,5.52,0
58.86,10,118,4,9.28,0
89.32,2,666,2,21.84,0
129.52,13,255,0,9.53,0
21.03,16,127,4,30.41,0
47.16,19,796,4,20.67,0
45.11,19,440,2,12.89,0
331.32,12,4,1,4.4,0
42.06,23,278,2,4.12,0
218.95,3,349,1,6.4,0
90.45,10,215,0,28.05,0
12.24,15,4,0,2.46,0
248.28,11,324,2,9.81,0
55.19,5,559,3,13.25,0
159.18,15,433,0,20.84,0
1.29,14,220,2,15.77,0
83.93,21,13,1,7.6,0
49.67,10,346,1,9.52,0
244.79,8,213,1,27.35,0
84.43,18,135,0,11.67,0
99.84,8,2377,2,18.67,0
189.56,15,514,3,17.3,0
19.11,15,1200,0,8.22,0
15.11,20,70,0,0.01,0
28.42,20,363,5,8.83,0
49.69,5,777,2,0.47,0
72.06,1,811,2,3.75,0
21.1,23,1145,1,0.28,0
119.07,5,72,3,62.01,0
98.09,6,301,1,6.58,0
114.85,22,70,1,1.3,0
70.49,5,420,1,3.6,0
87.79,0,542,3,30.72,0
75.89,9,432,0,23.81,0
42.2,18,578,3,6.15,0
45.82,5,80,1,19.54,0
56.67,20,93,3,42.42,0
188.3,19,509,1,2.46,0
60.98,11,451,1,10.76,0
75.0,6,54,4,95.44,0
229.54,6,150,3,23.17,0
69.01,12,228,1,0.02,0
180.72,14,691,0,3.39,0
9.97,5,280,6,5.89,0
195.09,3,98,1,0.49,0
277.71,9,0,3,4.1,0
226.27,7,207,1,9.48,0
44.09,4,587,2,3.29,0
103.61,21,1878,1,15.9,0
129.42,8,711,1,0.09,0
49.2,3,1441,4,14.62,0
80.7,15,421,0,22.36,0
151.57,4,876,4,0.32,0
123.56,2,180,1,13.84,0
189.43,9,245,1,7.32,0
46.25,13,522,0,29.56,0
64.58,12,101,5,19.01,0
64.67,11,177,2,12.0,0
156.46,17,500,2,25.32,0
53.36,17,1579,3,2.51,0
94.83,16,97,2,60.48,0
56.01,10,1811,1,25.09,0
68.54,5,66,2,11.2,0
9.94,2,1029,1,11.65,0
103.87,3,662,2,6.79,0
316.83,13,446,2,9.63,0
139.17,11,358,4,0.68,0
74.47,7,412,3,6.19,0
70.37,18,75,1,2.88,0
7.25,4,266,4,3.55,0
32.26,23,166,2,1.82,0
